posting_id,role,skill_id,name,facet,ai_era
cake:fpt-telecom/25525-data-scientist-hn-efe8588f2a42e1591dea03461e1a75,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:fpt-telecom/25525-data-scientist-hn-efe8588f2a42e1591dea03461e1a75,ml_engineer,cnn,CNN,4,False
cake:fpt-telecom/25525-data-scientist-hn-efe8588f2a42e1591dea03461e1a75,ml_engineer,deep_learning,Deep Learning (general),4,False
cake:fpt-telecom/25525-data-scientist-hn-efe8588f2a42e1591dea03461e1a75,ml_engineer,rnn,RNN/LSTM,4,False
cake:fpt-telecom/25525-data-scientist-hn-efe8588f2a42e1591dea03461e1a75,ml_engineer,data_viz,Data Visualization,8,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,python,Python,1,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,sql,SQL,1,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,spark,Apache Spark,2,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,bigquery,BigQuery,2,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,etl,ETL/ELT,2,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,machine_learning,Machine Learning (general),3,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,deep_learning,Deep Learning (general),4,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,nlp,NLP,4,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,transformer,Transformer,4,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,rag,RAG,5,True
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,ci_cd,CI/CD,6,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,azure,Azure,7,False
cake:celestica/0a5c9a3d-0572-4a38-b9be-a212fbe0ee93-senior-data-scientist-c2db4c2d01c05cd674e4ff29d4e1ef,data_engineer,azure_ml,Azure ML,7,False
